('68.64.29.28:1853', '172.16.133.85:51035'): 332242 bytes
('98.138.19.88:80', '172.16.133.132:44296'): 874 bytes
('172.16.133.132:44296', '98.138.19.88:80'): 132 bytes
('216.115.222.200:443', '172.16.133.103:63406'): 120 bytes
('67.217.66.65:443', '172.16.133.49:54985'): 14014 bytes
('172.16.133.78:58631', '157.56.241.150:443'): 1020 bytes
('67.217.65.65:443', '172.16.133.49:54982'): 13923 bytes
('172.16.133.53:60838', '68.64.21.40:1853'): 501000 bytes
('67.217.64.65:443', '172.16.133.49:54984'): 14014 bytes
('157.56.241.150:443', '172.16.133.75:58186'): 2760 bytes
('157.56.241.150:443', '172.16.133.75:58187'): 25533 bytes
('172.16.133.1:514', '172.16.133.6:514'): 207546 bytes
('172.16.133.26:54654', '68.64.21.37:1853'): 500918 bytes
('172.16.133.28:65271', '172.16.139.250:5440'): 1022 bytes
('68.64.21.45:1853', '172.16.133.207:50477'): 501358 bytes
('172.16.133.109:49453', '96.43.146.22:443'): 17237 bytes
('172.16.133.6:63229', '8.8.8.8:53'): 169 bytes
('68.64.21.42:1853', '172.16.133.36:62603'): 501639 bytes
('172.16.133.16:137', '172.16.133.255:137'): 3220 bytes
('172.16.133.17:137', '172.16.133.255:137'): 3220 bytes
('172.16.133.78:54905', '66.31.24.112:32450'): 5600 bytes
('172.16.133.132:54613', '216.185.152.111:80'): 13890 bytes
('172.16.133.99:55981', '172.16.139.250:5440'): 1022 bytes
('172.16.131.10:8080', '172.16.133.237:4358'): 8508 bytes
('172.16.131.10:8080', '172.16.133.235:2691'): 378 bytes
('172.16.133.132:38625', '98.139.134.187:80'): 942 bytes
('96.43.146.50:443', '172.16.133.82:61241'): 10642 bytes
('172.16.133.75:58187', '157.56.241.150:443'): 1902 bytes
('24.44.106.119:18131', '172.16.133.78:58865'): 58327 bytes
('172.16.133.87:60115', '172.16.139.250:5440'): 1022 bytes
('172.16.133.82:60073', '96.43.146.176:443'): 36575 bytes
('172.16.133.18:49879', '157.56.238.6:443'): 11256 bytes
('96.43.146.176:443', '172.16.133.82:61249'): 328282 bytes
('96.43.146.176:443', '172.16.133.99:55867'): 31347 bytes
('96.43.146.22:443', '172.16.133.109:49453'): 13855 bytes
('96.43.146.48:443', '172.16.133.37:49741'): 3065 bytes
('172.16.133.118:57961', '68.64.28.20:443'): 4261 bytes
('172.16.133.26:53038', '67.217.65.99:443'): 23121 bytes
('172.16.133.116:53121', '172.16.139.250:5440'): 1022 bytes
('98.139.134.187:80', '172.16.133.132:38625'): 7541 bytes
('172.16.133.35:49909', '172.16.139.250:5440'): 1142 bytes
('172.16.133.26:53041', '67.217.66.99:443'): 23121 bytes
('172.16.133.26:53040', '67.217.64.99:443'): 23121 bytes
('172.16.133.116:53122', '172.16.139.250:5440'): 1022 bytes
('24.63.143.150:10943', '172.16.133.25:59904'): 3840 bytes
('172.16.133.25:59904', '24.63.143.150:10943'): 3023 bytes
('172.16.133.233:22', '172.16.128.233:55208'): 29696 bytes
('172.16.133.116:53123', '172.16.139.250:5440'): 1022 bytes
('172.16.133.118:56497', '68.64.28.164:8200'): 1920 bytes
('172.16.133.82:61235', '64.56.203.22:443'): 420 bytes
('172.16.133.84:58729', '172.16.139.250:5440'): 1022 bytes
('216.185.152.111:80', '172.16.133.132:54613'): 17310 bytes
('128.119.195.145:38677', '172.16.133.78:62209'): 34030 bytes
('172.16.133.207:55649', '67.217.66.54:443'): 23121 bytes
('172.16.133.207:55648', '67.217.64.54:443'): 23121 bytes
('172.16.133.207:55646', '67.217.65.54:443'): 23121 bytes
('157.56.232.214:443', '172.16.133.121:53746'): 789 bytes
('157.56.242.198:443', '172.16.133.57:60587'): 4220 bytes
('172.16.133.57:60587', '157.56.242.198:443'): 2323 bytes
('66.151.158.187:443', '172.16.133.103:63407'): 180 bytes
('68.64.28.20:443', '172.16.133.118:57961'): 4075 bytes
('172.16.133.132:54620', '216.185.152.111:80'): 13216 bytes
('172.16.133.103:63409', '202.173.24.200:443'): 246 bytes
('172.16.133.121:53746', '157.56.232.214:443'): 360 bytes
('172.16.133.121:53745', '157.56.232.214:443'): 1518 bytes
('172.16.133.82:61234', '64.56.203.22:443'): 5271 bytes
('172.16.133.82:60717', '216.115.208.199:443'): 2234 bytes
('172.16.133.28:49284', '5.79.25.105:443'): 18628 bytes
('216.219.112.250:443', '172.16.133.103:63408'): 120 bytes
('172.16.133.85:51696', '64.74.80.244:443'): 15534 bytes
('172.16.133.85:51700', '216.219.115.183:443'): 15534 bytes
('68.64.28.91:8200', '172.16.133.92:58748'): 46722 bytes
('68.64.28.164:8200', '172.16.133.118:56497'): 46722 bytes
('172.16.133.35:64162', '172.16.139.250:5462'): 49708 bytes
('172.16.133.46:58048', '172.16.139.250:5462'): 49828 bytes
('172.16.133.35:63962', '172.16.139.250:5500'): 1684068 bytes
('172.16.133.207:49562', '172.16.139.250:5462'): 49708 bytes
('172.16.133.46:57824', '172.16.139.250:5500'): 1677104 bytes
('24.63.70.49:28159', '172.16.133.25:59820'): 4005 bytes
('172.16.133.37:49273', '172.16.139.250:5462'): 51028 bytes
('172.16.133.207:49560', '172.16.139.250:5500'): 1669904 bytes
('172.16.133.132:50395', '76.13.6.174:80'): 717 bytes
('172.16.133.67:49855', '172.16.139.250:5462'): 52108 bytes
('157.56.232.214:443', '172.16.133.121:53745'): 840 bytes
('172.16.133.37:49272', '172.16.139.250:5500'): 1698836 bytes
('172.16.133.68:49279', '172.16.139.250:5462'): 51792 bytes
('172.16.133.67:49854', '172.16.139.250:5500'): 1720428 bytes
('157.56.238.6:443', '172.16.133.18:49879'): 14004 bytes
('172.16.133.254:39259', '172.16.128.233:6343'): 1493278 bytes
('172.16.133.11:49284', '172.16.139.250:5462'): 49828 bytes
('172.16.133.68:49278', '172.16.139.250:5500'): 1750356 bytes
('172.16.133.11:49283', '172.16.139.250:5500'): 1669604 bytes
('5.79.25.106:443', '172.16.133.76:60548'): 15048 bytes
('172.16.133.42:57835', '172.16.139.250:5462'): 54380 bytes
('172.16.133.49:55704', '172.16.139.250:5440'): 1022 bytes
('184.96.221.120:64510', '172.16.133.78:58899'): 3673 bytes
('68.64.28.66:8200', '172.16.133.85:51036'): 29208 bytes
('68.64.28.169:8200', '172.16.133.37:55364'): 29268 bytes
('172.16.128.233:55208', '172.16.133.233:22'): 5692 bytes
('76.13.6.174:80', '172.16.133.132:50395'): 1212 bytes
('173.49.112.206:61315', '172.16.133.25:60121'): 6646 bytes
('172.16.133.42:57833', '172.16.139.250:5500'): 1889680 bytes
('216.185.152.111:80', '172.16.133.132:54620'): 20322 bytes
('172.16.133.85:51699', '216.115.216.31:443'): 15534 bytes
('172.16.133.235:2691', '172.16.131.10:8080'): 1023 bytes
('172.16.133.95:56882', '172.16.139.250:5440'): 1142 bytes
('172.16.133.85:51701', '216.115.217.225:443'): 15534 bytes
('172.16.133.132:54610', '98.139.161.29:80'): 715 bytes
('172.16.133.132:44300', '98.138.19.88:80'): 733 bytes
('5.79.25.105:443', '172.16.133.28:49284'): 15194 bytes
('172.16.133.63:53725', '107.22.18.198:443'): 81288 bytes
('172.16.133.24:57634', '23.20.10.203:443'): 60 bytes
('172.16.133.24:57632', '23.20.10.203:443'): 60 bytes
('172.16.133.24:57633', '23.20.10.203:443'): 52442 bytes
('172.16.133.92:57606', '172.16.139.250:5440'): 1142 bytes
('172.16.133.92:57607', '216.219.115.250:443'): 246 bytes
('172.16.133.43:57403', '173.194.43.59:80'): 60 bytes
('172.16.133.43:57406', '173.194.43.59:80'): 60 bytes
('216.219.115.160:443', '172.16.133.57:59181'): 13623 bytes
('172.16.133.57:59181', '216.219.115.160:443'): 14555 bytes
('172.16.133.92:57608', '67.217.66.244:443'): 246 bytes
('67.217.64.49:443', '172.16.133.60:62038'): 428766 bytes
('67.217.64.49:443', '172.16.133.53:53643'): 428832 bytes
('98.139.161.29:80', '172.16.133.132:54610'): 713 bytes
('67.217.64.49:443', '172.16.133.114:55269'): 24869 bytes
('172.16.133.132:52323', '98.139.240.23:80'): 1036 bytes
('172.16.133.57:59183', '216.219.115.183:443'): 14555 bytes
('172.16.133.26:53072', '107.20.103.220:443'): 61766 bytes
('172.16.133.29:60816', '172.16.139.250:5440'): 1022 bytes
('172.16.133.114:55269', '67.217.64.49:443'): 433717 bytes
('172.16.133.114:55271', '67.217.64.54:443'): 13400 bytes
('172.16.133.44:64673', '172.16.139.250:5440'): 1022 bytes
('172.16.128.169:3495', '172.16.133.254:161'): 117 bytes
('216.219.115.250:443', '172.16.133.92:57607'): 120 bytes
('23.20.10.203:443', '172.16.133.24:57634'): 60 bytes
('172.16.128.169:3499', '172.16.133.248:161'): 117 bytes
('173.194.43.59:80', '172.16.133.43:57403'): 60 bytes
('173.194.43.59:80', '172.16.133.43:57406'): 60 bytes
('172.16.128.169:3501', '172.16.133.242:161'): 117 bytes
('172.16.128.169:3502', '172.16.133.252:161'): 117 bytes
('172.16.128.169:3503', '172.16.133.254:161'): 117 bytes
('216.115.219.126:443', '172.16.133.36:65067'): 120 bytes
('172.16.133.254:161', '172.16.128.169:3495'): 129 bytes
('67.217.66.244:443', '172.16.133.92:57608'): 120 bytes
('172.16.133.242:161', '172.16.128.169:3501'): 123 bytes
('172.16.133.252:161', '172.16.128.169:3502'): 129 bytes
('23.20.10.203:443', '172.16.133.24:57632'): 60 bytes
('172.16.133.248:161', '172.16.128.169:3499'): 130 bytes
('172.16.133.45:61287', '96.43.146.176:443'): 480 bytes
('107.22.18.198:443', '172.16.133.63:53725'): 25576 bytes
('23.20.10.203:443', '172.16.133.24:57633'): 16766 bytes
('172.16.133.237:4358', '172.16.131.10:8080'): 47566 bytes
('157.56.237.150:443', '172.16.133.29:49318'): 674 bytes
('157.56.236.102:443', '172.16.133.23:61949'): 563 bytes
('216.219.115.183:443', '172.16.133.57:59183'): 13623 bytes
('172.16.133.254:161', '172.16.128.169:3503'): 131 bytes
('172.16.133.92:57609', '68.64.30.250:443'): 246 bytes
('107.20.103.220:443', '172.16.133.26:53072'): 18681 bytes
('8.8.8.8:53', '172.16.133.6:63229'): 225 bytes
('172.16.133.6:63229', '8.8.4.4:53'): 85 bytes
('98.138.19.88:80', '172.16.133.132:44300'): 948 bytes
('172.16.133.92:57610', '68.64.13.250:443'): 246 bytes
('172.16.133.36:64948', '208.85.40.50:80'): 866 bytes
('208.85.40.50:80', '172.16.133.36:64948'): 866 bytes
('172.16.133.207:55872', '172.16.139.250:5440'): 1142 bytes
('172.16.133.36:65068', '208.85.40.20:80'): 1076 bytes
('172.16.133.28:63799', '96.43.146.22:443'): 15221 bytes
('98.139.240.23:80', '172.16.133.132:52323'): 618 bytes
('172.16.133.83:57021', '172.16.139.250:5440'): 1022 bytes
('67.217.64.54:443', '172.16.133.114:55271'): 14487 bytes
('68.64.28.123:8200', '172.16.133.26:54655'): 44906 bytes
('68.64.28.24:8200', '172.16.133.36:57478'): 47692 bytes
('157.56.236.102:443', '172.16.133.43:62631'): 3722 bytes
('172.16.133.93:60597', '172.16.139.250:5440'): 1142 bytes
('172.16.133.45:61190', '173.70.53.92:41433'): 120 bytes
('172.16.133.45:61200', '24.125.152.21:51398'): 120 bytes
('96.43.146.176:443', '172.16.133.45:61287'): 557 bytes
('172.16.133.93:54574', '96.43.146.22:443'): 16188 bytes
('172.16.133.75:58053', '96.43.146.176:443'): 5618 bytes
('68.64.30.250:443', '172.16.133.92:57609'): 120 bytes
('172.16.133.11:55079', '172.16.139.250:5440'): 1142 bytes
('96.43.146.22:443', '172.16.133.28:63799'): 3516 bytes
('172.16.133.55:57517', '172.16.139.250:5440'): 1022 bytes
('67.217.88.86:8200', '172.16.133.99:56567'): 19236 bytes
('67.217.88.161:8200', '172.16.133.67:52403'): 19236 bytes
('67.217.88.129:8200', '172.16.133.39:55446'): 19236 bytes
('216.115.208.199:443', '172.16.133.36:64909'): 14165 bytes
('172.16.133.36:64909', '216.115.208.199:443'): 17580 bytes
('172.16.133.39:62817', '216.115.216.44:443'): 9699 bytes
('68.64.13.250:443', '172.16.133.92:57610'): 120 bytes
('172.16.133.39:62818', '216.219.115.17:443'): 9699 bytes
('172.16.133.39:62821', '216.115.217.144:443'): 9699 bytes
('172.16.133.39:62815', '64.74.80.15:443'): 9699 bytes
('172.16.133.163:1184', '157.56.240.102:443'): 139668 bytes
('173.70.53.92:41433', '172.16.133.45:61190'): 120 bytes
('172.16.133.25:59820', '24.63.70.49:28159'): 2937 bytes
('202.173.24.200:443', '172.16.133.103:63409'): 120 bytes
('24.125.152.21:51398', '172.16.133.45:61200'): 120 bytes
('96.43.146.22:443', '172.16.133.93:54574'): 2892 bytes
('172.16.133.73:60503', '172.16.139.250:5440'): 1022 bytes
('172.16.133.53:54037', '172.16.139.250:5440'): 1022 bytes
('172.16.133.21:53111', '172.16.139.250:5440'): 1022 bytes
('172.16.133.30:62549', '172.16.139.250:5440'): 1142 bytes
('172.16.133.37:55511', '96.43.146.176:443'): 43163 bytes
('157.56.240.102:443', '172.16.133.163:1184'): 42612 bytes
('172.16.133.37:60537', '96.43.146.48:443'): 8856 bytes
('172.16.133.78:58899', '184.96.221.120:64510'): 3044 bytes
('64.74.80.15:443', '172.16.133.39:62815'): 5884 bytes
('216.219.115.17:443', '172.16.133.39:62818'): 5884 bytes
('216.115.216.44:443', '172.16.133.39:62817'): 5884 bytes
('216.115.217.144:443', '172.16.133.39:62821'): 5884 bytes
('208.85.40.20:80', '172.16.133.36:65068'): 489 bytes
('173.194.75.99:443', '172.16.133.25:62995'): 330 bytes
('172.16.133.34:50377', '172.16.139.250:5440'): 1142 bytes
('172.16.133.25:62995', '173.194.75.99:443'): 120 bytes
('172.16.133.47:56534', '67.217.65.65:443'): 23262 bytes
('172.16.133.47:56536', '67.217.64.65:443'): 23262 bytes
('172.16.133.47:56537', '67.217.66.65:443'): 23262 bytes
('157.56.240.102:443', '172.16.133.163:1185'): 379799 bytes
('172.16.133.25:63342', '172.16.139.250:5440'): 1022 bytes
('174.129.20.55:443', '172.16.133.110:45907'): 5458 bytes
('172.16.133.110:45907', '174.129.20.55:443'): 516 bytes
('172.16.133.25:60121', '173.49.112.206:61315'): 4970 bytes
('216.115.208.199:443', '172.16.133.82:60717'): 2174 bytes
('172.16.133.97:59308', '172.16.139.250:5440'): 1022 bytes
('172.16.128.169:8014', '172.16.133.128:64958'): 326 bytes
('172.16.128.169:8014', '172.16.133.92:57225'): 326 bytes
('172.16.128.169:8014', '172.16.133.33:57361'): 326 bytes
('172.16.133.128:64958', '172.16.128.169:8014'): 120 bytes
('172.16.133.33:57361', '172.16.128.169:8014'): 120 bytes
('172.16.133.92:57225', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.93:60076'): 326 bytes
('172.16.128.169:8014', '172.16.133.11:54680'): 326 bytes
('172.16.128.169:8014', '172.16.133.83:56650'): 326 bytes
('172.16.128.169:8014', '172.16.133.68:60280'): 326 bytes
('172.16.133.93:60076', '172.16.128.169:8014'): 60 bytes
('172.16.133.83:56650', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.235:2682'): 326 bytes
('172.16.128.169:8014', '172.16.133.20:61857'): 326 bytes
('172.16.133.68:60280', '172.16.128.169:8014'): 120 bytes
('172.16.133.235:2682', '172.16.128.169:8014'): 120 bytes
('172.16.133.11:54680', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.28:64786'): 326 bytes
('172.16.133.20:61857', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.72:52205'): 326 bytes
('172.16.133.28:64786', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.34:50008'): 326 bytes
('172.16.128.169:8014', '172.16.133.95:56519'): 326 bytes
('172.16.133.34:50008', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.60:62028'): 326 bytes
('172.16.128.169:8014', '172.16.133.49:55355'): 326 bytes
('172.16.133.95:56519', '172.16.128.169:8014'): 120 bytes
('172.16.133.60:62028', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.43:57325'): 326 bytes
('172.16.133.49:55355', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.37:60126'): 326 bytes
('172.16.128.169:8014', '172.16.133.76:62340'): 326 bytes
('172.16.133.72:52205', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.53:53649'): 326 bytes
('172.16.128.169:8014', '172.16.133.25:62890'): 326 bytes
('172.16.133.37:60126', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.46:64483'): 326 bytes
('172.16.133.43:57325', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.88:51194'): 326 bytes
('172.16.133.46:64483', '172.16.128.169:8014'): 120 bytes
('172.16.133.25:62890', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.103:63350'): 326 bytes
('172.16.133.53:53649', '172.16.128.169:8014'): 120 bytes
('172.16.133.88:51194', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.12:59108'): 326 bytes
('172.16.128.169:8014', '172.16.133.75:50413'): 326 bytes
('172.16.133.12:59108', '172.16.128.169:8014'): 120 bytes
('172.16.133.103:63350', '172.16.128.169:8014'): 120 bytes
('172.16.133.75:50413', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.66:53308'): 326 bytes
('172.16.133.76:62340', '172.16.128.169:8014'): 120 bytes
('172.16.128.169:8014', '172.16.133.87:59659'): 326 bytes
('172.16.133.66:53308', '172.16.128.169:8014'): 120 bytes
('172.16.133.87:59659', '172.16.128.169:8014'): 120 bytes
('172.16.133.132:38630', '98.139.134.187:80'): 942 bytes
('96.43.146.176:443', '172.16.133.37:55511'): 40085 bytes
('67.217.86.242:8200', '172.16.133.57:62560'): 46680 bytes
('67.217.86.146:8200', '172.16.133.56:49515'): 46644 bytes
('67.217.86.124:8200', '172.16.133.207:50478'): 46644 bytes
('96.43.146.48:443', '172.16.133.37:60537'): 13147 bytes
('172.16.133.60:62042', '67.217.66.49:443'): 22923 bytes
('172.16.133.60:62039', '67.217.65.49:443'): 22923 bytes
('172.16.133.60:62041', '67.217.64.49:443'): 22923 bytes
('67.217.66.65:443', '172.16.133.47:56537'): 13741 bytes
('67.217.65.65:443', '172.16.133.47:56534'): 13741 bytes
('67.217.64.65:443', '172.16.133.47:56536'): 13741 bytes
('172.16.133.68:56917', '205.203.132.1:80'): 30986 bytes
('208.92.54.5:80', '172.16.133.56:56237'): 2623071 bytes
('172.16.133.56:56237', '208.92.54.5:80'): 82766 bytes
('172.16.133.53:53992', '173.194.43.7:443'): 420 bytes
('98.139.134.187:80', '172.16.133.132:38630'): 7541 bytes
('172.16.133.82:61250', '64.56.203.22:443'): 2939 bytes
('172.16.133.82:61251', '64.56.203.22:443'): 3516 bytes
('172.16.133.82:61252', '64.56.203.22:443'): 2933 bytes
('96.43.146.176:443', '172.16.133.50:50638'): 131924 bytes
('172.16.133.36:64956', '67.217.64.99:443'): 27402 bytes
